IDPeticion;Codi;Nom;SSTT;DataPlanificada;Data tancament ;Excedent previst ;EXCENDENT que té el centre  ;Incidental pendent previst ;Equips en incidencia CENTRE ;Equips a recollir a la visita (excedents mès averiats) previst;equips retirats ;disposen del total del equips a retirar ?;e-Valisa necessària?;e-Valisa sol·licitada;e-Valisa rebuda;MOTIU discrepancia ;observacions;Columna1;;;;;;
2198693;8060514;INSTITUT DE MASQUEFA;PEN;12/11/2025;12/11/2025;45;0;36;18;45;18;NO;SI;SI;;El centre indica que un dels equips d'excedent s'ha entregat a un alumne.;Intentant contactar amb la directora Gemma.... 3 trucades ja. // Ordinadors entregats a Batxillerat i matricula viva. ;;;;;;;
2198727;43008390;INSTITUT TORREFORTA;TAR;12/11/2025;12/11/2025;15;17;0;12;29;29;SI;NO;;;;;;;;;;;
2198723;17006939;INSTITUT SANTA EUGÈNIA;GIR;12/11/2025;12/11/2025;46;38;36;36;46;38;NO;SI;;;EQUIPAMENT ROBAT;No tenen denuncia.;;;;;;;
2198736;8075293;INSTITUT ESCOLA GAVÀ MAR;BLL;13/11/2025;13/11/2025;52;49;48;49;52;49;NO;NO;;;;;;;;;;;
2198735;8072292;INSTITUT ESCOLA TURÓ DE ROQUETES;CEB;13/11/2025;13/11/2025;52;44;3;7;52;44;NO;SI;SI;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;lliurats a 5é de primaria ;;;;;;;
2198734;8047492;INSTITUT RIBERA BAIXA;BLL;13/11/2025;13/11/2025;52;21;21;21;52;21;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;Assessor BLL: Assessor: Es truca el 24-11-25, es parla amb la directora i s'acorda l'enviament de l'evalisa.;;;;;;;
2198739;43006654;INSTITUT CAMBRILS;TAR;13/11/2025;13/11/2025;15;0;3;13;15;13;NO;NO;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;no indiquen a quin alumnat ;;;;;;;
2198704;8073193;INSTITUT BADIA I MARGARIT;PEN;13/11/2025;13/11/2025;44;25;8;8;44;25;NO;SI;SI;SI;Centre indica que mai ha tingut aquest excedent;el centre els ha llurat a alumnat de batxillerat.;;;;;;;
2198742;25008352;INSTITUT DE LA POBLA DE SEGUR;APA;13/11/2025;13/11/2025;5;0;0;5;5;5;SI;NO;;;;;;;;;;;
2198740;8059524;INSTITUT DE NAVARCLES;CCE;13/11/2025;13/11/2025;32;32;22;22;32;32;SI;NO;;;;;;;;;;;
2198767;8046785;INSTITUT D'ALELLA;MVO;13/11/2025;13/11/2025;4;7;3;3;4;7;SI;NO;;;El centre entrega mes equipament del previst , indicant que el te com a excedent;;;;;;;;
2198733;17010037;INSTITUT EL BRUC;GIR;13/11/2025;13/11/2025;42;30;12;12;42;30;NO;SI;SI;No vàlida;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells. (MARC: El centre NO té altres nivells 😅);(MARC) Parlat amb direcció 09/12 i faran valisa;;;;;;;
2198720;8070908;INSTITUT ESCOLA LA TORDERA;MVO;12/11/2025;13/11/2025;69;35;4;4;69;35;NO;SI;SI;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;no indiquen a quin alumnat ;;;;;;;
2198748;8076391;INSTITUT PEDRALBES;CEB;14/11/2025;14/11/2025;48;48;8;8;48;48;SI;NO;;;;;;;;;;;
2198747;8067144;INSTITUT DE CERVELLÓ;BLL;14/11/2025;14/11/2025;51;50;30;30;51;50;NO;NO;;;equip a retirar sense sn ni sace identificatiu ( esborrat) ;;;;;;;;
2198746;8047509;INSTITUT ÍTACA;BLL;14/11/2025;14/11/2025;51;26;16;24;51;26;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells. Lliurats a batxillerat;Assessor BLL: Assessor: Es truca el 24-11-25, es parla amb la directora i s'acorda l'enviament de l'evalisa.;;;;;;;
2198752;8068380;INSTITUT GURB;CCE;14/11/2025;14/11/2025;28;28;25;25;28;28;SI;NO;;;;;;;;;;;
2198743;8053170;INSTITUT POLINYÀ;VOC;14/11/2025;14/11/2025;69;25;68;25;69;25;NO;SI;SI;SI;EQUIPAMENT ROBAT;centre adjunta denuncia. Es truca el centre el 0237/12, reclamant evalisa. Ho faran abans d'acabar la setmana;Evalisa reclamada al gener;;;;;;
2198754;25007499;INSTITUT L'OLIVERA;LLE;14/11/2025;14/11/2025;1;0;0;1;1;1;SI;NO;;;;;;;;;;;
2198753;25006288;INSTITUT DE TREMP;APA;14/11/2025;14/11/2025;1;1;0;0;1;1;SI;NO;;;;;;;;;;;
2198705;8035246;INSTITUT GELIDA;PEN;14/11/2025;14/11/2025;43;0;3;28;43;28;NO;SI;SI;No vàlida;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;no saben a qui els han lliurat. REVISANT INDIC;;;;;;;
2198751;43007661;INSTITUT RAMON DE LA TORRE;TAR;14/11/2025;14/11/2025;12;12;3;3;12;12;SI;NO;;;;;;;;;;;
2198761;8034621;INSTITUT DE SALES;BLL;17/11/2025;14/11/2025;58;58;58;58;58;58;SI;NO;;;;;;;;;;;
2198658;8063229;INSTITUT MONTPEDRÓS;BLL;17/11/2025;14/11/2025;106;94;59;50;106;94;NO;SI;SI;SI;no han tingut mai aquest excedent ;Assessor BLL: tenen 8 portàtils repartits a BATX i tenen 4 amb INC més en estoc per ser recollits.;;;;;;;
2198763;43012812;INSTITUT ESCOLA L'AGULLA;TAR;17/11/2025;17/11/2025;10;0;4;8;10;8;NO;NO;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;no saben a qui els han lliurat;;;;;;;
2198715;43010372;INSTITUT LA TALAIA;PEN;17/11/2025;17/11/2025;6;1;81;84;81;83;SI;NO;;;;;;;;;;;
2198765;8058404;INSTITUT CIRVIÀNUM DE TORELLÓ;CCE;17/11/2025;17/11/2025;21;21;20;20;21;21;SI;NO;;;;;;;;;;;
2198759;8045471;INSTITUT POMPEU FABRA;BNS;17/11/2025;17/11/2025;116;116;;;116;116;SI;NO;;;;;;;;;;;
